                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.59539,                0.66563,                 1.0121,                0.91533,                0.84931,                0.95471,                0.77678,                0.84986,                0.65933,                 1.0631,             0.00014509,             0.00014509,             0.00014509
                     59,                0.58216,                0.64565,                 1.0087,                0.93086,                0.87227,                0.95304,                0.77685,                0.81874,                0.64682,                 1.0371,             0.00014179,             0.00014179,             0.00014179
                     60,                  0.587,                0.65551,                 1.0078,                0.89475,                0.88406,                0.95425,                0.78591,                 0.7909,                  0.685,                 1.0262,             0.00013849,             0.00013849,             0.00013849
                     61,                0.57493,                0.63113,                 1.0088,                0.89701,                0.86333,                0.94713,                0.78278,                0.81837,                0.66616,                 1.0437,              0.0001352,              0.0001352,              0.0001352
                     62,                0.57028,                0.62088,                 1.0037,                0.93531,                0.86517,                0.95699,                0.79894,                0.79171,                0.63555,                 1.0217,              0.0001319,              0.0001319,              0.0001319
                     63,                0.56433,                0.62926,                0.99635,                0.93323,                0.87957,                0.95891,                0.79887,                 0.7692,                0.65068,                0.99693,              0.0001286,              0.0001286,              0.0001286
                     64,                0.56636,                0.62044,                0.99874,                0.92523,                0.86773,                0.95152,                 0.7878,                0.80628,                0.65355,                 1.0435,             0.00012531,             0.00012531,             0.00012531
                     65,                0.56804,                0.62202,                 1.0022,                0.90301,                0.86925,                0.94551,                0.77672,                0.81392,                0.67463,                 1.0492,             0.00012201,             0.00012201,             0.00012201
                     66,                0.56598,                0.61197,                 1.0002,                0.92058,                0.86457,                0.94803,                0.79049,                0.80134,                0.66122,                 1.0329,             0.00011871,             0.00011871,             0.00011871
                     67,                0.56723,                0.62344,                 1.0068,                0.92502,                0.88771,                 0.9595,                0.79641,                0.80353,                0.63527,                 1.0374,             0.00011542,             0.00011542,             0.00011542
