                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.52578,                0.43839,                0.97204,                0.92521,                0.86334,                0.93847,                0.75723,                0.87338,                0.58845,                 1.0549,              0.0002697,              0.0002697,              0.0002697
                     50,                0.51719,                0.43606,                0.97091,                0.94186,                0.85951,                0.94234,                0.77391,                0.82189,                0.59171,                 1.0195,             0.00026838,             0.00026838,             0.00026838
                     51,                0.50409,                0.43149,                0.96589,                0.94212,                 0.8747,                0.94993,                 0.7734,                0.86959,                0.56757,                   1.07,             0.00026707,             0.00026707,             0.00026707
                     52,                 0.5113,                0.42608,                0.96529,                 0.9235,                0.86078,                0.94158,                0.77189,                0.83843,                0.58157,                 1.0426,             0.00026575,             0.00026575,             0.00026575
                     53,                 0.5138,                0.43845,                 0.9669,                 0.9211,                0.85938,                0.93135,                0.75458,                0.86738,                0.58186,                 1.0435,             0.00026443,             0.00026443,             0.00026443
                     54,                0.51728,                0.42886,                0.96765,                0.94142,                0.87088,                0.94595,                0.79421,                 0.7582,                0.50581,                0.98518,             0.00026311,             0.00026311,             0.00026311
                     55,                0.49961,                 0.4255,                0.96225,                 0.9371,                0.85652,                0.95237,                0.78431,                0.81324,                0.55127,                 1.0261,             0.00026179,             0.00026179,             0.00026179
                     56,                0.52184,                0.42897,                0.97308,                0.92798,                0.87796,                0.94112,                0.76907,                0.83591,                0.57978,                 1.0466,             0.00026047,             0.00026047,             0.00026047
                     57,                0.51623,                0.41955,                0.96971,                0.92342,                0.86316,                0.94529,                0.77811,                0.79975,                0.54789,                 1.0049,             0.00025915,             0.00025915,             0.00025915
                     58,                0.51661,                0.42167,                0.96462,                0.91766,                0.86238,                0.93391,                0.76219,                 0.8141,                0.56837,                 1.0308,             0.00025784,             0.00025784,             0.00025784
                     59,                0.49945,                0.42081,                0.96026,                0.92942,                0.87105,                0.92861,                0.75162,                0.85354,                0.60095,                 1.0471,             0.00025652,             0.00025652,             0.00025652
                     60,                0.51495,                 0.4216,                0.96652,                0.90917,                0.86943,                0.94576,                0.77655,                0.83125,                0.52972,                  1.047,              0.0002552,              0.0002552,              0.0002552
                     61,                0.50468,                0.41543,                0.96405,                0.91631,                0.87279,                0.94666,                0.77558,                0.83215,                0.56737,                 1.0509,             0.00025388,             0.00025388,             0.00025388
                     62,                 0.5045,                0.40246,                0.96401,                0.91811,                0.85424,                0.92678,                0.76776,                 0.8079,                0.58591,                 1.0269,             0.00025256,             0.00025256,             0.00025256
                     63,                0.50379,                0.42349,                0.96073,                0.91721,                0.86855,                0.94548,                 0.7769,                0.83518,                0.54866,                 1.0414,             0.00025124,             0.00025124,             0.00025124
                     64,                  0.498,                0.41142,                0.95641,                0.93524,                0.86039,                0.93681,                0.76654,                0.81734,                0.54908,                 1.0473,             0.00024992,             0.00024992,             0.00024992
                     65,                0.50859,                0.41227,                0.96463,                0.93216,                0.86599,                0.93726,                0.78051,                0.80713,                0.54319,                 1.0254,              0.0002486,              0.0002486,              0.0002486
                     66,                0.50625,                0.40664,                0.96376,                 0.9321,                0.86821,                0.93438,                0.76005,                0.85511,                0.56466,                 1.0517,             0.00024729,             0.00024729,             0.00024729
                     67,                0.51066,                0.41643,                0.97113,                0.94351,                0.86512,                0.93265,                0.77031,                0.83885,                0.55623,                  1.036,             0.00024597,             0.00024597,             0.00024597
                     68,                0.49466,                0.41602,                0.96274,                0.93951,                0.87224,                0.94648,                0.76717,                0.87273,                0.54654,                 1.0608,             0.00024465,             0.00024465,             0.00024465
                     69,                0.47931,                0.40342,                0.95373,                0.90874,                0.88161,                0.93828,                0.78977,                 0.7683,                0.55395,                 0.9969,             0.00024333,             0.00024333,             0.00024333
                     70,                0.50346,                0.41528,                0.96724,                0.92878,                 0.8489,                0.92413,                 0.7598,                0.82851,                0.58832,                  1.036,             0.00024201,             0.00024201,             0.00024201
                     71,                0.48977,                0.39383,                0.95221,                0.91475,                0.85268,                0.92773,                0.75281,                0.86073,                0.59404,                 1.0526,             0.00024069,             0.00024069,             0.00024069
