                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.68577,                0.71145,                 1.0361,                0.90399,                0.87604,                0.93092,                0.75277,                0.87337,                0.65644,                 1.0419,              0.0089506,              0.0089506,              0.0089506
                     55,                0.69314,                0.73071,                 1.0367,                0.88616,                0.87559,                0.91815,                0.75768,                0.83549,                0.63851,                 1.0161,              0.0089308,              0.0089308,              0.0089308
                     56,                0.67674,                0.70096,                 1.0345,                0.89628,                0.83013,                0.91036,                0.75252,                0.83429,                0.75072,                 1.0092,               0.008911,               0.008911,               0.008911
                     57,                0.66873,                0.68175,                 1.0256,                0.88756,                0.84706,                0.91691,                0.73427,                0.89339,                0.71128,                  1.059,              0.0088912,              0.0088912,              0.0088912
                     58,                0.66427,                0.67305,                 1.0307,                0.89321,                0.83328,                0.93353,                0.75329,                0.85771,                0.71309,                 1.0524,              0.0088714,              0.0088714,              0.0088714
                     59,                0.67213,                0.69268,                 1.0317,                0.89241,                0.86046,                0.92125,                0.75824,                0.82103,                0.67314,                 1.0256,              0.0088516,              0.0088516,              0.0088516
                     60,                0.67519,                0.67439,                 1.0297,                0.91147,                0.88157,                0.93381,                0.75239,                0.87434,                0.62097,                 1.0585,              0.0088318,              0.0088318,              0.0088318
                     61,                0.67697,                  0.697,                 1.0311,                0.93907,                 0.8623,                0.95653,                0.78121,                0.85414,                0.58616,                  1.022,               0.008812,               0.008812,               0.008812
                     62,                0.68789,                0.72323,                  1.039,                0.90827,                0.87161,                0.92914,                 0.7522,                0.85081,                0.65074,                 1.0351,              0.0087922,              0.0087922,              0.0087922
                     63,                0.67125,                0.72623,                 1.0426,                0.87396,                0.86531,                0.93753,                0.74371,                0.90781,                0.66118,                 1.0701,              0.0087724,              0.0087724,              0.0087724
                     64,                0.68155,                0.71539,                 1.0373,                0.89944,                0.85599,                0.92238,                 0.7525,                0.85575,                0.64653,                 1.0237,              0.0087526,              0.0087526,              0.0087526
                     65,                0.67073,                0.68958,                 1.0355,                 0.9047,                0.86424,                0.92976,                0.75423,                0.89348,                0.63192,                 1.0478,              0.0087328,              0.0087328,              0.0087328
                     66,                0.67313,                0.70235,                 1.0276,                0.88756,                0.86116,                 0.9342,                0.76104,                0.87045,                0.64881,                 1.0373,               0.008713,               0.008713,               0.008713
                     67,                0.65699,                0.66827,                 1.0251,                 0.8665,                0.86551,                 0.9293,                0.72822,                0.92251,                0.68211,                 1.0818,              0.0086932,              0.0086932,              0.0086932
                     68,                0.66465,                0.68054,                 1.0272,                0.83309,                0.85399,                0.86454,                0.68922,                0.89853,                0.74976,                 1.0568,              0.0086734,              0.0086734,              0.0086734
                     69,                0.66627,                0.68216,                 1.0328,                0.93332,                0.85973,                0.93774,                0.75894,                0.86326,                0.55996,                 1.0393,              0.0086536,              0.0086536,              0.0086536
                     70,                0.66733,                0.69873,                 1.0355,                0.88217,                0.87115,                0.94349,                0.76917,                0.88366,                0.60484,                 1.0431,              0.0086338,              0.0086338,              0.0086338
                     71,                 0.6782,                0.68543,                 1.0423,                0.89266,                0.86006,                 0.9369,                0.75596,                0.86213,                0.61422,                 1.0357,               0.008614,               0.008614,               0.008614
                     72,                0.66925,                0.66474,                 1.0278,                0.90414,                0.88146,                0.94697,                0.75012,                0.92017,                0.61959,                 1.0898,              0.0085942,              0.0085942,              0.0085942
                     73,                0.67408,                0.68317,                 1.0281,                0.92559,                0.86569,                0.94756,                0.78782,                0.78381,                0.56162,                 1.0016,              0.0085744,              0.0085744,              0.0085744
                     74,                0.66535,                0.66736,                 1.0225,                0.86482,                 0.8551,                0.91567,                 0.7509,                0.80658,                0.67407,                  1.015,              0.0085546,              0.0085546,              0.0085546
                     75,                0.66204,                0.67491,                 1.0315,                0.92456,                0.85512,                0.93641,                0.77778,                0.79122,                0.54018,                 1.0136,              0.0085348,              0.0085348,              0.0085348
                     76,                0.66412,                0.67262,                 1.0252,                0.85447,                 0.8728,                 0.9308,                0.75806,                0.84225,                 0.6268,                 1.0447,               0.008515,               0.008515,               0.008515
                     77,                0.66625,                0.65329,                 1.0312,                0.90062,                0.85032,                0.94834,                0.75182,                0.91829,                0.60354,                 1.0624,              0.0084952,              0.0084952,              0.0084952
                     78,                0.65611,                0.65465,                  1.028,                0.84923,                0.86829,                0.93842,                0.75906,                0.86951,                0.66996,                  1.039,              0.0084754,              0.0084754,              0.0084754
                     79,                0.66209,                0.64964,                 1.0265,                0.85497,                0.84207,                0.91143,                0.73016,                0.85552,                0.68541,                 1.0289,              0.0084556,              0.0084556,              0.0084556
                     80,                0.66181,                0.67257,                 1.0282,                0.89726,                0.84443,                0.92141,                0.75793,                 0.8506,                0.68513,                 1.0239,              0.0084358,              0.0084358,              0.0084358
                     81,                0.64847,                 0.6526,                 1.0215,                0.88259,                 0.8727,                 0.9232,                 0.7214,                0.98877,                0.63292,                 1.1165,               0.008416,               0.008416,               0.008416
                     82,                0.65178,                0.64281,                 1.0216,                0.87637,                0.81638,                0.92609,                0.74992,                0.88218,                0.64778,                 1.0502,              0.0083962,              0.0083962,              0.0083962
                     83,                 0.6479,                0.63605,                 1.0194,                0.91474,                0.87668,                0.93375,                0.75612,                0.86227,                 0.5712,                 1.0247,              0.0083764,              0.0083764,              0.0083764
                     84,                0.65562,                0.64141,                 1.0232,                0.88204,                0.87815,                0.93007,                0.77008,                0.81951,                0.59076,                 1.0136,              0.0083566,              0.0083566,              0.0083566
                     85,                0.63459,                0.62786,                 1.0154,                0.88646,                0.82958,                0.92803,                0.76475,                0.77834,                0.62946,                0.99797,              0.0083368,              0.0083368,              0.0083368
                     86,                 0.6534,                0.64616,                 1.0254,                0.88181,                 0.8725,                0.88433,                0.71029,                0.89123,                0.63353,                 1.0642,               0.008317,               0.008317,               0.008317
                     87,                0.65119,                0.64763,                 1.0231,                0.90529,                 0.8895,                 0.9155,                0.75102,                  0.866,                0.56112,                 1.0425,              0.0082972,              0.0082972,              0.0082972
                     88,                0.64874,                0.63018,                 1.0179,                0.90752,                0.87163,                0.93485,                0.75431,                 0.8754,                0.59048,                 1.0592,              0.0082774,              0.0082774,              0.0082774
                     89,                0.64374,                0.60829,                 1.0138,                0.84545,                0.83188,                0.91245,                0.73051,                0.91733,                0.67326,                 1.0544,              0.0082576,              0.0082576,              0.0082576
                     90,                0.64401,                0.62115,                 1.0176,                0.91475,                0.88346,                0.93935,                0.77377,                0.81656,                0.57177,                 1.0192,              0.0082378,              0.0082378,              0.0082378
                     91,                0.63702,                0.61996,                  1.017,                0.89846,                0.84001,                0.92901,                0.74464,                0.91014,                0.63897,                 1.0902,               0.008218,               0.008218,               0.008218
                     92,                0.64174,                0.60405,                 1.0176,                0.90896,                0.84498,                0.90727,                0.72439,                0.89474,                0.61577,                 1.0504,              0.0081982,              0.0081982,              0.0081982
                     93,                0.63573,                0.63059,                 1.0101,                0.89523,                0.86511,                0.91336,                0.75526,                0.79848,                0.62995,                0.99476,              0.0081784,              0.0081784,              0.0081784
                     94,                0.63603,                0.62404,                 1.0132,                0.92298,                0.89139,                0.94204,                0.76141,                0.91013,                0.53185,                  1.078,              0.0081586,              0.0081586,              0.0081586
                     95,                0.64346,                0.62245,                 1.0189,                0.92069,                0.87602,                0.94404,                0.77655,                0.83384,                0.56967,                 1.0352,              0.0081388,              0.0081388,              0.0081388
                     96,                0.63898,                0.60255,                 1.0139,                0.86267,                0.85025,                0.92707,                0.73571,                0.90186,                0.68685,                 1.0598,               0.008119,               0.008119,               0.008119
                     97,                0.63558,                0.60736,                 1.0188,                0.89043,                0.83153,                 0.9014,                0.73043,                0.86735,                0.66588,                  1.039,              0.0080992,              0.0080992,              0.0080992
